행정구역별,종류별,항목,단위,2009 년,2010 년,2011 년,2012 년,2013 년,2014 년,2015 년,2016 년,2017 년,2018 년,2019 년,2020 년
전국,출생아수(명),"출생,사망,혼인,이혼",,444849,470171,471265,484550,436455,435435,438420,406243,357771,326822,302676,272337
전국,조출생률(천명당),"출생,사망,혼인,이혼",,9,9.4,9.4,9.6,8.6,8.6,8.6,7.9,7,6.4,5.9,5.3
전국,사망자수(명),"출생,사망,혼인,이혼",,246942,255405,257396,267221,266257,267692,275895,280827,285534,298820,295110,304948
전국,조사망률(천명당),"출생,사망,혼인,이혼",,5,5.1,5.1,5.3,5.3,5.3,5.4,5.5,5.6,5.8,5.7,5.9
전국,자연증가건수(명),"출생,사망,혼인,이혼",,197907,214766,213869,217329,170198,167743,162525,125416,72237,28002,7566,-32611
전국,자연증가율(천명당),"출생,사망,혼인,이혼",,4,4.3,4.3,4.3,3.4,3.3,3.2,2.5,1.4,0.5,0.1,-0.6
전국,혼인건수(건),"출생,사망,혼인,이혼",,309759,326104,329087,327073,322807,305507,302828,281635,264455,257622,239159,213502
전국,조혼인율(천명당),"출생,사망,혼인,이혼",,6.2,6.5,6.6,6.5,6.4,6,5.9,5.5,5.2,5,4.7,4.2
전국,이혼건수(건),"출생,사망,혼인,이혼",,123999,116858,114284,114316,115292,115510,109153,107328,106032,108684,110831,106500
전국,조이혼율(천명당),"출생,사망,혼인,이혼",,2.5,2.3,2.3,2.3,2.3,2.3,2.1,2.1,2.1,2.1,2.2,2.1
전국,합계출산율,"출생,사망,혼인,이혼",,1.149,1.226,1.244,1.297,1.187,1.205,1.239,1.172,1.052,0.977,0.918,0.837
전국,일반혼인율(남편),"출생,사망,혼인,이혼",,15.1,15.7,15.7,15.4,15.1,14.2,13.9,12.8,12,11.6,10.8,9.6
전국,일반혼인율(아내),"출생,사망,혼인,이혼",,14.9,15.5,15.5,15.2,14.9,14,13.7,12.7,11.8,11.5,10.6,9.4
전국,일반이혼율(남편),"출생,사망,혼인,이혼",,6,5.6,5.4,5.4,5.4,5.4,5,4.9,4.8,4.9,5,4.8
전국,일반이혼율(아내),"출생,사망,혼인,이혼",,6,5.6,5.4,5.3,5.3,5.3,5,4.8,4.7,4.8,4.9,4.7
서울특별시,출생아수(명),"출생,사망,혼인,이혼",,89594,93266,91526,93914,84066,83711,83005,75536,65389,58074,53673,47445
서울특별시,조출생률(천명당),"출생,사망,혼인,이혼",,8.8,9.2,9,9.3,8.4,8.4,8.4,7.7,6.7,6,5.6,5
서울특별시,사망자수(명),"출생,사망,혼인,이혼",,38790,40130,40320,41514,42063,42153,43053,43540,42932,45219,43829,45522
서울특별시,조사망률(천명당),"출생,사망,혼인,이혼",,3.8,3.9,4,4.1,4.2,4.2,4.3,4.4,4.4,4.7,4.6,4.8
서울특별시,자연증가건수(명),"출생,사망,혼인,이혼",,50804,53136,51206,52400,42003,41558,39952,31996,22457,12855,9844,1923
서울특별시,자연증가율(천명당),"출생,사망,혼인,이혼",,5,5.2,5.1,5.2,4.2,4.2,4,3.3,2.3,1.3,1,0.2
서울특별시,혼인건수(건),"출생,사망,혼인,이혼",,68841,70466,71519,71695,68819,64823,64193,57643,53776,52005,48261,44746
서울특별시,조혼인율(천명당),"출생,사망,혼인,이혼",,6.7,6.9,7.1,7.1,6.9,6.5,6.5,5.9,5.5,5.4,5,4.7
서울특별시,이혼건수(건),"출생,사망,혼인,이혼",,23920,21768,20617,20177,20126,19477,18176,17777,17083,16940,16972,16282
서울특별시,조이혼율(천명당),"출생,사망,혼인,이혼",,2.3,2.1,2,2,2,2,1.8,1.8,1.8,1.8,1.8,1.7
서울특별시,합계출산율,"출생,사망,혼인,이혼",,0.962,1.015,1.014,1.059,0.968,0.983,1.001,0.94,0.836,0.761,0.717,0.642
서울특별시,일반혼인율(남편),"출생,사망,혼인,이혼",,16.1,16.5,16.7,16.8,16.1,15.2,15.1,13.7,12.9,12.5,11.7,10.9
서울특별시,일반혼인율(아내),"출생,사망,혼인,이혼",,15.3,15.7,16.1,16.2,15.7,14.8,14.7,13.4,12.4,12,11,10.2
서울특별시,일반이혼율(남편),"출생,사망,혼인,이혼",,5.6,5.1,4.8,4.7,4.7,4.6,4.3,4.2,4.1,4.1,4.1,3.9
서울특별시,일반이혼율(아내),"출생,사망,혼인,이혼",,5.5,5,4.6,4.6,4.6,4.4,4.2,4.1,3.9,4,3.9,3.7
부산광역시,출생아수(명),"출생,사망,혼인,이혼",,25110,27415,27759,28673,25831,26190,26645,24906,21480,19152,17049,15058
부산광역시,조출생률(천명당),"출생,사망,혼인,이혼",,7.1,7.8,7.9,8.2,7.4,7.5,7.7,7.2,6.2,5.6,5,4.5
부산광역시,사망자수(명),"출생,사망,혼인,이혼",,18954,19708,19643,20534,20096,20230,20820,21074,21434,22570,22260,22950
부산광역시,조사망률(천명당),"출생,사망,혼인,이혼",,5.3,5.6,5.6,5.9,5.8,5.8,6,6.1,6.2,6.6,6.6,6.8
부산광역시,자연증가건수(명),"출생,사망,혼인,이혼",,6156,7707,8116,8139,5735,5960,5825,3832,46,-3418,-5211,-7892
부산광역시,자연증가율(천명당),"출생,사망,혼인,이혼",,1.7,2.2,2.3,2.3,1.6,1.7,1.7,1.1,0,-1,-1.5,-2.3
부산광역시,혼인건수(건),"출생,사망,혼인,이혼",,18614,20195,20224,20362,20734,18927,18553,17113,15677,14781,13780,12128
부산광역시,조혼인율(천명당),"출생,사망,혼인,이혼",,5.2,5.7,5.8,5.8,5.9,5.4,5.3,4.9,4.5,4.3,4.1,3.6
부산광역시,이혼건수(건),"출생,사망,혼인,이혼",,8550,7645,7514,7501,7444,7345,6649,6859,6651,6678,6787,6497
