2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
21493,25602,35681,43211,55503,69621,75546,136633,199694,201898,291793,357439
3808,3936,4193,6216,6664,8418,8942,8170,12361,14612,17554,19183
815,885,838,882,952,1007,1156,1107,1327,833,1282,1495
14276,18302,25166,30017,40240,46863,44126,45138,88002,95475,108045,112518
2307,2149,5291,5829,7182,8153,9490,6948,8135,9033,9425,9534
2,5,0,0,0,4294,10454,70570,84934,80254,139832,201254
55,62,0,0,0,0,0,0,0,0,560,585
229,259,98,193,334,717,1283,896,733,978,1603,1308
2,3,5,5,0,0,0,0,0,0,41,63
0,0,91,71,131,170,95,3802,4202,714,13452,11500
