"특성별","필요정도별","항목","단위","2015 년","2018 년",
"기혼여성 전체","응답자수","기혼여성","명","11009","11205",
"기혼여성 전체","반드시 해야 한다","기혼여성","%","11.5","9",
"기혼여성 전체","하는 편이 좋다","기혼여성","%","37.7","30.4",
"기혼여성 전체","해도 좋고 하지 않아도 좋다","기혼여성","%","44.4","53.3",
"기혼여성 전체","하지 않는게 낫다","기혼여성","%","6","6.8",
"기혼여성 전체","모르겠다","기혼여성","%",".4",".3",
"대도시","응답자수","기혼여성","명","4798","4802",
"대도시","반드시 해야 한다","기혼여성","%","10.3","9",
"대도시","하는 편이 좋다","기혼여성","%","39.3","30.8",
"대도시","해도 좋고 하지 않아도 좋다","기혼여성","%","44.1","53.3",
"대도시","하지 않는게 낫다","기혼여성","%","5.8","6.6",
"대도시","모르겠다","기혼여성","%",".5",".3",
"중소도시","응답자수","기혼여성","명","4588","4802",
"중소도시","반드시 해야 한다","기혼여성","%","12.5","8.8",
"중소도시","하는 편이 좋다","기혼여성","%","37.2","29.4",
"중소도시","해도 좋고 하지 않아도 좋다","기혼여성","%","44.3","54.6",
"중소도시","하지 않는게 낫다","기혼여성","%","5.7","6.8",
"중소도시","모르겠다","기혼여성","%",".2",".4",
"농촌","응답자수","기혼여성","명","1622","1602",
"농촌","반드시 해야 한다","기혼여성","%","12.3","10",
"농촌","하는 편이 좋다","기혼여성","%","34.3","32.5",
"농촌","해도 좋고 하지 않아도 좋다","기혼여성","%","45.2","49.6",
"농촌","하지 않는게 낫다","기혼여성","%","7.8","7.6",
"농촌","모르겠다","기혼여성","%",".4",".3",
"25세 미만","응답자수","기혼여성","명","53","81",
"25세 미만","반드시 해야 한다","기혼여성","%","13.2","13",
"25세 미만","하는 편이 좋다","기혼여성","%","39.6","39.6",
"25세 미만","해도 좋고 하지 않아도 좋다","기혼여성","%","43.4","42.7",
"25세 미만","하지 않는게 낫다","기혼여성","%","1.9","4.8",
"25세 미만","모르겠다","기혼여성","%","1.9","-",
"25~29세","응답자수","기혼여성","명","487","490",
"25~29세","반드시 해야 한다","기혼여성","%","14.4","9.8",
"25~29세","하는 편이 좋다","기혼여성","%","43.5","37.2",
"25~29세","해도 좋고 하지 않아도 좋다","기혼여성","%","36.8","47.7",
"25~29세","하지 않는게 낫다","기혼여성","%","4.5","5",
"25~29세","모르겠다","기혼여성","%",".8",".3",
"30~34세","응답자수","기혼여성","명","1724","1541",
"30~34세","반드시 해야 한다","기혼여성","%","9.7","8.4",
"30~34세","하는 편이 좋다","기혼여성","%","38","31",
"30~34세","해도 좋고 하지 않아도 좋다","기혼여성","%","46.9","55.1",
"30~34세","하지 않는게 낫다","기혼여성","%","5","5.5",
"30~34세","모르겠다","기혼여성","%",".4",".1",
"35~39세","응답자수","기혼여성","명","2451","2643",
"35~39세","반드시 해야 한다","기혼여성","%","10","7.7",
"35~39세","하는 편이 좋다","기혼여성","%","38.2","31.3",
"35~39세","해도 좋고 하지 않아도 좋다","기혼여성","%","45.8","54.2",
"35~39세","하지 않는게 낫다","기혼여성","%","5.5","6.4",
"35~39세","모르겠다","기혼여성","%",".4",".4",
"40~44세","응답자수","기혼여성","명","3048","2861",
"40~44세","반드시 해야 한다","기혼여성","%","10.7","9",
"40~44세","하는 편이 좋다","기혼여성","%","37.1","29.5",
"40~44세","해도 좋고 하지 않아도 좋다","기혼여성","%","45.2","54.3",
"40~44세","하지 않는게 낫다","기혼여성","%","6.4","6.8",
"40~44세","모르겠다","기혼여성","%",".6",".5",
"45~49세","응답자수","기혼여성","명","3244","3592",
"45~49세","반드시 해야 한다","기혼여성","%","13.9","10.2",
"45~49세","하는 편이 좋다","기혼여성","%","36.8","29.3",
"45~49세","해도 좋고 하지 않아도 좋다","기혼여성","%","42.3","52.3",
"45~49세","하지 않는게 낫다","기혼여성","%","6.9","8",
"45~49세","모르겠다","기혼여성","%",".2",".3",
"중졸이하","응답자수","기혼여성","명","344","230",
"중졸이하","반드시 해야 한다","기혼여성","%","14.2","11.7",
"중졸이하","하는 편이 좋다","기혼여성","%","32.8","33.3",
"중졸이하","해도 좋고 하지 않아도 좋다","기혼여성","%","37.2","42.2",
"중졸이하","하지 않는게 낫다","기혼여성","%","15.1","12.5",
"중졸이하","모르겠다","기혼여성","%",".6",".4",
"고졸","응답자수","기혼여성","명","4554","3960",
"고졸","반드시 해야 한다","기혼여성","%","10.5","8.3",
"고졸","하는 편이 좋다","기혼여성","%","35","27.4",
"고졸","해도 좋고 하지 않아도 좋다","기혼여성","%","46.2","53.7",
"고졸","하지 않는게 낫다","기혼여성","%","7.9","10.2",
"고졸","모르겠다","기혼여성","%",".5",".4",
"대졸","응답자수","기혼여성","명","5673","6485",
"대졸","반드시 해야 한다","기혼여성","%","11.9","9.2",
"대졸","하는 편이 좋다","기혼여성","%","39.6","31.6",
"대졸","해도 좋고 하지 않아도 좋다","기혼여성","%","43.8","53.9",
"대졸","하지 않는게 낫다","기혼여성","%","4.4","5",
"대졸","모르겠다","기혼여성","%",".4",".3",
"대학원 졸","응답자수","기혼여성","명","440","533",
"대학원 졸","반드시 해야 한다","기혼여성","%","15.7","11.1",
"대학원 졸","하는 편이 좋다","기혼여성","%","44.8","37.8",
"대학원 졸","해도 좋고 하지 않아도 좋다","기혼여성","%","37.5","48.6",
"대학원 졸","하지 않는게 낫다","기혼여성","%","2","2.1",
"대학원 졸","모르겠다","기혼여성","%","-",".4",
"유배우","응답자수","기혼여성","명","10323","10630",
"유배우","반드시 해야 한다","기혼여성","%","11.9","9.3",
"유배우","하는 편이 좋다","기혼여성","%","38.6","31.1",
"유배우","해도 좋고 하지 않아도 좋다","기혼여성","%","43.7","53.2",
"유배우","하지 않는게 낫다","기혼여성","%","5.4","6.2",
"유배우","모르겠다","기혼여성","%",".4",".3",
"사별","응답자수","기혼여성","명","139","111",
"사별","반드시 해야 한다","기혼여성","%","12.2","9",
"사별","하는 편이 좋다","기혼여성","%","35.3","21.8",
"사별","해도 좋고 하지 않아도 좋다","기혼여성","%","46","55.4",
"사별","하지 않는게 낫다","기혼여성","%","6.5","13",
"사별","모르겠다","기혼여성","%","-",".9",
"이혼·별거·미혼모","응답자수","기혼여성","명","547","466",
"이혼·별거·미혼모","반드시 해야 한다","기혼여성","%","4.6","4.4",
"이혼·별거·미혼모","하는 편이 좋다","기혼여성","%","20.8","18.2",
"이혼·별거·미혼모","해도 좋고 하지 않아도 좋다","기혼여성","%","55.6","57.1",
"이혼·별거·미혼모","하지 않는게 낫다","기혼여성","%","18.5","19.7",
"이혼·별거·미혼모","모르겠다","기혼여성","%",".5",".6",
"취업","응답자수","기혼여성","명","6220","6559",
"취업","반드시 해야 한다","기혼여성","%","12.1","9.6",
"취업","하는 편이 좋다","기혼여성","%","37.2","30.1",
"취업","해도 좋고 하지 않아도 좋다","기혼여성","%","43.9","53.1",
"취업","하지 않는게 낫다","기혼여성","%","6.4","7",
"취업","모르겠다","기혼여성","%",".4",".3",
"비취업","응답자수","기혼여성","명","4789","4648",
"비취업","반드시 해야 한다","기혼여성","%","10.8","8.3",
"비취업","하는 편이 좋다","기혼여성","%","38.3","30.9",
"비취업","해도 좋고 하지 않아도 좋다","기혼여성","%","44.9","53.8",
"비취업","하지 않는게 낫다","기혼여성","%","5.6","6.6",
"비취업","모르겠다","기혼여성","%",".4",".4",
"60%미만","응답자수","기혼여성","명","1518","1123",
"60%미만","반드시 해야 한다","기혼여성","%","8.8","8.2",
"60%미만","하는 편이 좋다","기혼여성","%","30","27.5",
"60%미만","해도 좋고 하지 않아도 좋다","기혼여성","%","50.2","51",
"60%미만","하지 않는게 낫다","기혼여성","%","10.5","13",
"60%미만","모르겠다","기혼여성","%",".5",".3",
"60~80%미만","응답자수","기혼여성","명","1714","1834",
"60~80%미만","반드시 해야 한다","기혼여성","%","10.7","7.8",
"60~80%미만","하는 편이 좋다","기혼여성","%","34.5","28",
"60~80%미만","해도 좋고 하지 않아도 좋다","기혼여성","%","46.6","55.7",
"60~80%미만","하지 않는게 낫다","기혼여성","%","7.7","8",
"60~80%미만","모르겠다","기혼여성","%",".5",".4",
