년도,전국매매가격지수,수도권매매가격지수,서울매매가격지수,출생아수
2008년 1월,77.6,90.2,79.4,449164
2008년 2월,78.1,90.9,80.4,451129
2008년 3월,79,92.4,82.4,453443
2008년 4월,80,94.1,84.2,456120
2008년 5월,80.8,95.3,85.1,458345
2008년 6월,81.4,96.4,85.5,460160
2008년 7월,81.4,96.3,84.7,464524
2008년 8월,81.4,96.2,84.6,471144
2008년 9월,80.7,95,82.6,477610
2008년 10월,78.7,91.5,79.5,484795
2008년 11월,76,87.1,74.7,489507
2008년 12월,73.3,82.7,70.3,491498
2009년 1월,73.6,83.6,73.2,494735
2009년 2월,74.9,85.7,76.2,493791
2009년 3월,75.3,86.4,76.9,492867
2009년 4월,76.4,88.4,79.2,491600
2009년 5월,77.5,90.2,80.7,489664
2009년 6월,78.3,91.6,82.3,487898
2009년 7월,79.1,92.9,84,486799
2009년 8월,80.3,94.5,86,480835
2009년 9월,80.9,95.4,86.8,476369
2009년 10월,80.8,94.7,86.2,470906
2009년 11월,80.2,93.7,85.1,465933
2009년 12월,79.7,92.7,84.7,464282
2010년 1월,80.5,93.7,86.1,461758
2010년 2월,80.5,93.5,86,460163
2010년 3월,80.4,92.8,85.3,457614
2010년 4월,79.5,91,83.5,456382
2010년 5월,79,89.6,82.2,454650
2010년 6월,78.6,88.7,81.2,453818
2010년 7월,78.4,87.9,80.4,451607
2010년 8월,78.2,87.2,80.1,450017
2010년 9월,78.8,87.8,80.7,448250
2010년 10월,79.3,88,80.9,446110
2010년 11월,79.8,88.4,81.6,444885
2010년 12월,80.6,89.2,82.7,443963
2011년 1월,81.9,90.3,83.9,442889
2011년 2월,83.2,91.2,84.6,442926
2011년 3월,84.1,91,84.3,444194
2011년 4월,84.6,90.5,83.7,445025
2011년 5월,84.8,90,83.1,446229
2011년 6월,85.1,89.6,82.7,448180
2011년 7월,85.5,89.4,82.7,449586
2011년 8월,86,89.5,82.8,451899
2011년 9월,86.6,89.4,82.7,456151
2011년 10월,86.5,88.9,82.1,462065
2011년 11월,86,87.9,81.4,468244
2011년 12월,85.3,87.1,80.5,470224
2012년 1월,86,87.1,80.7,474889
2012년 2월,86.2,86.8,80.3,476536
2012년 3월,85.9,86.2,79.7,478984
2012년 4월,85.5,85.3,79,481136
2012년 5월,85.4,84.9,78.7,483191
2012년 6월,84.9,84.3,78,484077
2012년 7월,84.3,83.2,77,485293
2012년 8월,84.2,82.7,76.2,486420
2012년 9월,84.2,82.4,75.8,483149
2012년 10월,84.2,82.3,75.8,477885
2012년 11월,83.8,81.9,75.6,473862
2012년 12월,82.9,81,74.8,472275
2013년 1월,83.8,81.2,75.2,469704
2013년 2월,83.9,81.3,75.5,471220
2013년 3월,84.3,81.7,76.2,472313
2013년 4월,84.5,81.9,76.5,472212
2013년 5월,84.6,82.1,76.6,472810
2013년 6월,84.3,81.7,76.1,474289
2013년 7월,84.9,81.7,76,476317
2013년 8월,85.3,82.2,76.4,478478
