No,자료시점,전국,서울,경기
1,2004.3.1,4.21,4.89,4.17
2,2004.4.1,4.39,5.59,5.08
3,2004.5.1,4.19,5.14,4.11
4,2004.6.1,4.09,4.38,4.77
5,2004.7.1,4.29,5.88,4.31
6,2004.8.1,4.66,6.48,5.19
7,2004.9.1,4.51,5.89,5.29
8,2004.10.1,4.37,6.24,4.8
9,2004.11.1,4.4,5.99,4.98
10,2004.12.1,4.37,5.47,5.4
11,2005.1.1,4.12,6.4,4.9
12,2005.2.1,3.88,6.13,4.4
13,2005.3.1,4.05,5.63,4.71
14,2005.4.1,3.75,5.54,4.16
15,2005.5.1,4.13,5.46,4.78
16,2005.6.1,4.27,6.13,4.97
17,2005.7.1,3.95,5.65,4.12
18,2005.8.1,3.7,5.69,4.6
19,2005.9.1,3.97,5.54,4.82
20,2005.10.1,4.04,5.02,4.32
21,2005.11.1,3.84,4.9,4.12
22,2005.12.1,3.87,4.39,4.5
23,2006.1.1,4.02,6.58,4.24
24,2006.2.1,3.82,6,4.37
25,2006.3.1,3.83,5.2,4.21
26,2006.4.1,3.31,4.86,3.59
27,2006.5.1,3.72,4.84,4.23
28,2006.6.1,3.75,4.97,4.39
29,2006.7.1,4.28,5.81,4.81
30,2006.8.1,4.33,5.48,4.84
31,2006.9.1,4.32,5.37,4.71
32,2006.10.1,4.27,5.32,4.6
33,2006.11.1,4.23,5.5,4.61
34,2006.11.2,4.57,5.56,5.07
35,2007.1.1,4.9,5.8,5.64
36,2007.2.1,4.64,5.77,5.24
37,2007.3.1,4.62,6.03,5.17
38,2007.4.1,4.49,5.72,4.96
39,2007.5.1,4.64,5.99,5.18
40,2007.6.1,4.81,5.98,5.48
41,2007.7.1,5.14,6.41,5.72
42,2007.8.1,5.18,6.51,5.7
43,2007.9.1,5.04,6.26,5.63
44,2007.10.1,5.14,6.26,5.62
45,2007.11.1,5.09,6.51,5.72
46,2007.12.1,5.4,6.78,6.15
47,2008.1.1,5.32,6.81,6.17
48,2008.2.1,5.14,6.41,5.77
49,2008.3.1,5.13,6.54,5.55
50,2008.4.1,5.33,7.09,5.89
51,2008.5.1,5.71,6.97,6.13
52,2008.6.1,5.73,7.11,6.22
53,2008.7.1,5.83,7.19,6.09
54,2008.8.1,5.91,7.64,6.34
55,2008.9.1,5.71,7.15,6.31
56,2008.10.1,5.3,7.25,6.12
57,2008.11.1,4.8,6.7,5.63
58,2008.12.1,4.08,7,4.38
59,2009.1.1,4.81,7.62,5.75
60,2009.2.1,4.84,7.32,6.01
61,2009.3.1,5.53,7.83,6.43
62,2009.4.1,5.56,7.51,6.14
