year,birth_number,birth_rate,apart_trade_rate,apart_charter_rate
2004,1,1.164,1,1
2005,0.919802163,1.085,1.0203744,0.986235556
2006,0.947167256,1.132,1.090327105,1.056253801
2007,1.041647273,1.259,1.216655577,1.124548956
2008,0.976798796,1.192,1.304069485,1.162416379
2009,0.932679607,1.149,1.292039058,1.146989661
2010,0.985770236,1.226,1.333704976,1.244719238
2011,0.988063939,1.244,1.415921883,1.418264748
2012,1.015917544,1.297,1.454512759,1.516947091
2013,0.915080573,1.187,1.424499631,1.57095074
2014,0.91294202,1.205,1.455286015,1.682039327
2015,0.919200433,1.239,1.514628927,1.786377458
2016,0.85173747,1.172,1.548957902,1.858848571
2017,0.750110073,1.052,1.566742793,1.882708291
2018,0.68522176,0.977,1.57897103,1.855483479
2019,0.634596757,0.918,1.549389487,1.793756335
2020,0.570987383,0.84,1.599093672,1.832799513
