"시도별","설립주체별","학교현황별","항목","단위","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년",
"총계","계","학교수","초등학교 개황","개","5733","5756","5813","5829","5854","5882","5895","5913","5934","5978","6001","6040","6064","6087","6120",
"총계","계","학급수","초등학교 개황","개","127161","126681","125935","124892","123933","122866","121393","119896","119894","120063","119547","120152","121818","123761","123517",
"총계","계","학생수","초등학교 개황","명","3925043","3829998","3672207","3474395","3299094","3132477","2951995","2784000","2728509","2714610","2672843","2674227","2711385","2747219","2693716",
"총계","계","여자","초등학교 개황","","1861538","1822727","1752912","1659970","1575200","1497652","1413356","1335941","1312526","1310066","1292430","1294670","1315080","1334340","1309376",
"총계","계","교원수","초등학교 개황","명","163645","167182","172190","175068","176754","180623","181435","181585","182672","182658","183452","184358","186684","188582","189286",
"총계","계","여자","초등학교 개황","","117780","121963","127479","130552","132728","136829","138295","139023","140176","140516","141248","142064","144055","145412","145943",
"총계","계","직원수","초등학교 개황","명","28708","27473","25504","25304","25519","25435","25739","25265","25725","25472","24992","24529","24225","23967","23941",
"총계","계","여자","초등학교 개황","","14680","13670","12009","12220","12485","12745","13070","12946","13351","13549","13526","13673","13719","13930","14388",
"총계","계","입학자수","초등학교 개황","명","607902","610769","540799","469592","476291","457957","422242","436621","479304","455679","435220","459105","462818","473787","426646",
"총계","계","여자","초등학교 개황","","289896","290829","258639","223626","228151","220019","203353","210958","232728","221076","211125","222335","225411","230900","208225",
"총계","계","졸업자수","초등학교 개황","명","691774","682911","680804","657402","647572","617533","597426","602343","530819","464835","472641","454007","418522","432909","474778",
"총계","계","여자","초등학교 개황","","322338","318402","320934","311699","311392","294442","285352","286987","254038","221583","226733","218434","201601","209165","230593",
"총계","계","교실수","초등학교 개황","개","131212","130760","128824","127567","127910","127679","127214","126287","127461","164017","165571","167900","170474","173015","174372",
"총계","계","정규교실","초등학교 개황","","130707","130342","128414","127206","127395","127083","126426","125653","126835","","","","","","",
"총계","계","가·대용교실","초등학교 개황","","505","418","410","361","515","596","788","634","626","","","","","","",
"총계","계","일반교실","초등학교 개황","","","","","","","","","","","125849","126777","128688","131034","133432","134603",
"총계","계","교과교실","초등학교 개황","","","","","","","","","","","7343","7294","7512","7786","7850","7966",
"총계","계","특별교실","초등학교 개황","","","","","","","","","","","29211","29906","30183","30077","30203","30314",
"총계","계","수준별교실","초등학교 개황","","","","","","","","","","","1614","1594","1517","1577","1530","1489",
"총계","국립","학교수","초등학교 개황","개","17","17","17","17","17","17","17","17","17","17","17","17","17","17","17",
"총계","국립","학급수","초등학교 개황","개","370","381","388","388","386","387","387","387","386","387","387","385","387","387","387",
"총계","국립","학생수","초등학교 개황","명","10862","10746","10719","10667","10558","10364","10066","9798","9580","9347","9170","8978","8862","8783","8697",
"총계","국립","여자","초등학교 개황","","5389","5370","5346","5310","5272","5177","5024","4897","4808","4670","4565","4486","4414","4393","4339",
"총계","국립","교원수","초등학교 개황","명","479","500","518","526","517","517","514","512","514","515","513","517","519","525","524",
"총계","국립","여자","초등학교 개황","","235","248","267","271","261","253","249","247","243","242","246","248","246","263","255",
"총계","국립","직원수","초등학교 개황","명","49","47","39","39","36","40","40","40","40","37","32","34","34","35","35",
"총계","국립","여자","초등학교 개황","","20","17","12","11","11","14","15","15","12","14","15","16","19","21","21",
"총계","국립","입학자수","초등학교 개황","명","1771","1715","1691","1698","1678","1619","1551","1509","1498","1475","1483","1472","1431","1429","1409",
"총계","국립","여자","초등학교 개황","","884","847","839","851","841","808","779","759","752","720","738","751","716","718","700",
"총계","국립","졸업자수","초등학교 개황","명","1798","1802","1831","1826","1858","1838","1820","1766","1698","1671","1646","1613","1515","1478","1466",
"총계","국립","여자","초등학교 개황","","884","892","906","925","931","919","920","878","849","828","830","811","767","732","739",
"총계","국립","교실수","초등학교 개황","개","369","381","390","391","391","391","392","392","399","532","537","534","533","543","549",
"총계","국립","정규교실","초등학교 개황","","367","377","386","387","387","387","388","388","394","","","","","","",
"총계","국립","가·대용교실","초등학교 개황","","2","4","4","4","4","4","4","4","5","","","","","","",
"총계","국립","일반교실","초등학교 개황","","","","","","","","","","","356","356","395","395","399","403",
"총계","국립","교과교실","초등학교 개황","","","","","","","","","","","44","46","27","23","21","17",
"총계","국립","특별교실","초등학교 개황","","","","","","","","","","","113","116","111","114","123","129",
"총계","국립","수준별교실","초등학교 개황","","","","","","","","","","","19","19","1","1","0","-",
"총계","공립","학교수","초등학교 개황","개","5641","5664","5721","5737","5761","5789","5802","5820","5841","5886","5909","5949","5973","5996","6029",
"총계","공립","학급수","초등학교 개황","개","125333","124832","124082","123047","122097","121030","119567","118082","118086","118267","117744","118354","120030","121978","121741",
"총계","공립","학생수","초등학교 개황","명","3868011","3774159","3616384","3419336","3244936","3079244","2899933","2733287","2678752","2665762","2624452","2626405","2664402","2700467","2647300",
"총계","공립","여자","초등학교 개황","","1833973","1795636","1725717","1633109","1548731","1471526","1387667","1310908","1287863","1285831","1268353","1270916","1291731","1311081","1286313",
"총계","공립","교원수","초등학교 개황","명","161425","164916","169858","172705","174384","178241","179079","179312","180366","180376","181164","182046","184402","186295","187006",
"총계","공립","여자","초등학교 개황","","116623","120771","126236","129288","131455","135544","137027","137788","138935","139278","139976","140781","142784","144114","144650",
"총계","공립","직원수","초등학교 개황","명","28172","26952","25006","24801","25022","24953","25243","24763","25223","24974","24519","24053","23764","23510","23503",
"총계","공립","여자","초등학교 개황","","14487","13475","11832","12041","12309","12572","12888","12761","13177","13368","13350","13492","13541","13747","14205",
"총계","공립","입학자수","초등학교 개황","명","598065","601182","531348","460401","467155","448921","413408","428001","470675","447234","426792","450522","454697","465577","418437",
"총계","공립","여자","초등학교 개황","","285078","286135","254051","219172","223692","215538","198927","206651","228467","216972","206980","218081","221385","226859","204158",
"총계","공립","졸업자수","초등학교 개황","명","682168","673619","671670","648159","638438","608724","588570","593594","522435","456978","464806","446211","411014","425609","467524",
"총계","공립","여자","초등학교 개황","","317781","313954","316583","307241","306909","290144","280990","282666","249946","217723","222864","214557","197816","205467","226936",
"총계","공립","교실수","초등학교 개황","개","129308","128854","126942","125703","125983","125751","125292","124386","125521","160907","162432","164809","167355","169905","171235",
"총계","공립","정규교실","초등학교 개황","","128823","128453","126545","125353","125473","125160","124513","123762","124905","","","","","","",
"총계","공립","가·대용교실","초등학교 개황","","485","401","397","350","510","591","779","624","616","","","","","","",
"총계","공립","일반교실","초등학교 개황","","","","","","","","","","","124057","125002","126865","129194","131582","132751",
"총계","공립","교과교실","초등학교 개황","","","","","","","","","","","7050","6965","7211","7494","7554","7678",
"총계","공립","특별교실","초등학교 개황","","","","","","","","","","","28341","29026","29329","29212","29361","29448",
"총계","공립","수준별교실","초등학교 개황","","","","","","","","","","","1459","1439","1404","1455","1408","1358",
"총계","사립","학교수","초등학교 개황","개","75","75","75","75","76","76","76","76","76","75","75","74","74","74","74",
"총계","사립","학급수","초등학교 개황","개","1458","1468","1465","1457","1450","1449","1439","1427","1422","1409","1416","1413","1401","1396","1389",
"총계","사립","학생수","초등학교 개황","명","46170","45093","45104","44392","43600","42869","41996","40915","40177","39501","39221","38844","38121","37969","37719",
"총계","사립","여자","초등학교 개황","","22176","21721","21849","21551","21197","20949","20665","20136","19855","19565","19512","19268","18935","18866","18724",
"총계","사립","교원수","초등학교 개황","명","1741","1766","1814","1837","1853","1865","1842","1761","1792","1767","1775","1795","1763","1762","1756",
"총계","사립","여자","초등학교 개황","","922","944","976","993","1012","1032","1019","988","998","996","1026","1035","1025","1035","1038",
"총계","사립","직원수","초등학교 개황","명","487","474","459","464","461","442","456","462","462","461","441","442","427","422","403",
"총계","사립","여자","초등학교 개황","","173","178","165","168","165","159","167","170","162","167","161","165","159","162","162",
"총계","사립","입학자수","초등학교 개황","명","8066","7872","7760","7493","7458","7417","7283","7111","7131","6970","6945","7111","6690","6781","6800",
"총계","사립","여자","초등학교 개황","","3934","3847","3749","3603","3618","3673","3647","3548","3509","3384","3407","3503","3310","3323","3367",
"총계","사립","졸업자수","초등학교 개황","명","7808","7490","7303","7417","7276","6971","7036","6983","6686","6186","6189","6183","5993","5822","5788",
"총계","사립","여자","초등학교 개황","","3673","3556","3445","3533","3552","3379","3442","3443","3243","3032","3039","3066","3018","2966","2918",
"총계","사립","교실수","초등학교 개황","개","1535","1525","1492","1473","1536","1537","1530","1509","1541","2578","2602","2557","2586","2567","2588",
"총계","사립","정규교실","초등학교 개황","","1517","1512","1483","1466","1535","1536","1525","1503","1536","","","","","","",
"총계","사립","가·대용교실","초등학교 개황","","18","13","9","7","1","1","5","6","5","","","","","","",
"총계","사립","일반교실","초등학교 개황","","","","","","","","","","","1436","1419","1428","1445","1451","1449",
"총계","사립","교과교실","초등학교 개황","","","","","","","","","","","249","283","274","269","275","271",
"총계","사립","특별교실","초등학교 개황","","","","","","","","","","","757","764","743","751","719","737",
"총계","사립","수준별교실","초등학교 개황","","","","","","","","","","","136","136","112","121","122","131",
"서울","계","학교수","초등학교 개황","개","568","572","578","586","587","591","594","597","599","599","601","603","603","607","607",
"서울","계","학급수","초등학교 개황","개","21570","21320","20973","20682","20351","19993","19648","19149","18854","18780","18621","18625","18585","18690","18561",
"서울","계","학생수","초등학교 개황","명","689169","665227","633486","598514","566149","535948","502000","469392","457517","450675","436121","428333","424800","422293","409536",
"서울","계","여자","초등학교 개황","","328213","318199","304022","287562","272049","257914","241883","226687","221187","218247","211706","207869","206336","205477","199293",
"서울","계","교원수","초등학교 개황","명","27219","27646","28391","29004","29335","29639","29762","29751","29613","29627","29448","29191","28992","28727","28608",
"서울","계","여자","초등학교 개황","","22414","22978","23716","24335","24719","25186","25384","25466","25433","25577","25522","25321","25201","24983","24889",
"서울","계","직원수","초등학교 개황","명","3767","3512","3283","3220","3225","3196","3216","3174","3240","3232","3176","3114","3025","3028","2962",
"서울","계","여자","초등학교 개황","","1963","1758","1547","1582","1594","1642","1668","1674","1715","1732","1706","1733","1712","1773","1794",
"서울","계","입학자수","초등학교 개황","명","106015","106673","93166","83008","83369","79825","72108","74125","79656","75258","69944","72529","70686","72171","64898",
"서울","계","여자","초등학교 개황","","50810","51107","45035","39993","40276","38623","34803","35914","38703","36517","34172","35323","34455","35221","31569",
"서울","계","졸업자수","초등학교 개황","명","125416","123311","120268","114783","112700","106085","101603","102219","88172","78066","79123","75440","67742","69664","74375",
"서울","계","여자","초등학교 개황","","58320","57527","56832","54861","54125","50664","48647","48878","42406","37626","38188","36538","32678","33622","36011",
"서울","계","교실수","초등학교 개황","개","22528","22118","21792","21186","20894","20762","20569","20118","19790","24934","24989","25070","25042","25002","24968",
"서울","계","정규교실","초등학교 개황","","22457","22052","21701","21119","20841","20687","20451","20085","19744","","","","","","",
"서울","계","가·대용교실","초등학교 개황","","71","66","91","67","53","75","118","33","46","","","","","","",
"서울","계","일반교실","초등학교 개황","","","","","","","","","","","19176","19119","19180","19201","19220","19150",
"서울","계","교과교실","초등학교 개황","","","","","","","","","","","1418","1492","1552","1553","1471","1475",
"서울","계","특별교실","초등학교 개황","","","","","","","","","","","4045","4088","4059","4005","4023","4070",
"서울","계","수준별교실","초등학교 개황","","","","","","","","","","","295","290","279","283","288","273",
"서울","국립","학교수","초등학교 개황","개","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",
"서울","국립","학급수","초등학교 개황","개","57","58","59","59","59","59","59","59","59","59","59","58","59","59","59",
"서울","국립","학생수","초등학교 개황","명","1608","1574","1555","1545","1523","1480","1392","1359","1333","1330","1327","1282","1284","1248","1241",
"서울","국립","여자","초등학교 개황","","804","789","777","751","751","738","688","671","666","656","650","635","637","628","619",
