"시도별(1)","설립주체별(1)",2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"시도별(1)","설립주체별(1)",학교수 (개),학급수 (개),학생수 (명),학생수 (명),교원수 (명),교원수 (명),직원수 (명),직원수 (명),입학자수 (명),입학자수 (명),졸업자수 (명),졸업자수 (명),교실수 (개),교실수 (개),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),교원수 (명),교원수 (명),직원수 (명),직원수 (명),입학자수 (명),입학자수 (명),졸업자수 (명),졸업자수 (명),교실수 (개),교실수 (개),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),교원수 (명),교원수 (명),직원수 (명),직원수 (명),입학자수 (명),입학자수 (명),졸업자수 (명),졸업자수 (명),교실수 (개),교실수 (개),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),교원수 (명),교원수 (명),직원수 (명),직원수 (명),입학자수 (명),입학자수 (명),졸업자수 (명),졸업자수 (명),교실수 (개),교실수 (개),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),교원수 (명),교원수 (명),직원수 (명),직원수 (명),입학자수 (명),입학자수 (명),졸업자수 (명),졸업자수 (명),교실수 (개),교실수 (개),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),교원수 (명),교원수 (명),직원수 (명),직원수 (명),입학자수 (명),입학자수 (명),졸업자수 (명),졸업자수 (명),교실수 (개),교실수 (개),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),교원수 (명),교원수 (명),직원수 (명),직원수 (명),입학자수 (명),입학자수 (명),졸업자수 (명),졸업자수 (명),교실수 (개),교실수 (개),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),교원수 (명),교원수 (명),직원수 (명),직원수 (명),입학자수 (명),입학자수 (명),졸업자수 (명),졸업자수 (명),교실수 (개),교실수 (개),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),교원수 (명),교원수 (명),직원수 (명),직원수 (명),입학자수 (명),입학자수 (명),졸업자수 (명),졸업자수 (명),교실수 (개),교실수 (개),교실수 (개),교실수 (개),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),교원수 (명),교원수 (명),직원수 (명),직원수 (명),입학자수 (명),입학자수 (명),졸업자수 (명),졸업자수 (명),교실수 (개),교실수 (개),교실수 (개),교실수 (개),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),교원수 (명),교원수 (명),직원수 (명),직원수 (명),입학자수 (명),입학자수 (명),졸업자수 (명),졸업자수 (명),교실수 (개),교실수 (개),교실수 (개),교실수 (개),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),교원수 (명),교원수 (명),직원수 (명),직원수 (명),입학자수 (명),입학자수 (명),졸업자수 (명),졸업자수 (명),교실수 (개),교실수 (개),교실수 (개),교실수 (개),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),교원수 (명),교원수 (명),직원수 (명),직원수 (명),입학자수 (명),입학자수 (명),졸업자수 (명),졸업자수 (명),교실수 (개),교실수 (개),교실수 (개),교실수 (개),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),교원수 (명),교원수 (명),직원수 (명),직원수 (명),입학자수 (명),입학자수 (명),졸업자수 (명),졸업자수 (명),교실수 (개),교실수 (개),교실수 (개),교실수 (개),교실수 (개)
"시도별(1)","설립주체별(1)",소계,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,정규교실,가·대용교실,소계,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,정규교실,가·대용교실,소계,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,정규교실,가·대용교실,소계,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,정규교실,가·대용교실,소계,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,정규교실,가·대용교실,소계,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,정규교실,가·대용교실,소계,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,정규교실,가·대용교실,소계,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,정규교실,가·대용교실,소계,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,일반교실,교과교실,특별교실,수준별교실,소계,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,일반교실,교과교실,특별교실,수준별교실,소계,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,일반교실,교과교실,특별교실,수준별교실,소계,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,일반교실,교과교실,특별교실,수준별교실,소계,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,일반교실,교과교실,특별교실,수준별교실,소계,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,일반교실,교과교실,특별교실,수준별교실
"총계","계",5756,126681,3829998,1822727,167182,121963,27473,13670,610769,290829,682911,318402,130760,130342,418,5813,125935,3672207,1752912,172190,127479,25504,12009,540799,258639,680804,320934,128824,128414,410,5829,124892,3474395,1659970,175068,130552,25304,12220,469592,223626,657402,311699,127567,127206,361,5854,123933,3299094,1575200,176754,132728,25519,12485,476291,228151,647572,311392,127910,127395,515,5882,122866,3132477,1497652,180623,136829,25435,12745,457957,220019,617533,294442,127679,127083,596,5895,121393,2951995,1413356,181435,138295,25739,13070,422242,203353,597426,285352,127214,126426,788,5913,119896,2784000,1335941,181585,139023,25265,12946,436621,210958,602343,286987,126287,125653,634,5934,119894,2728509,1312526,182672,140176,25725,13351,479304,232728,530819,254038,127461,126835,626,5978,120063,2714610,1310066,182658,140516,25472,13549,455679,221076,464835,221583,164017,125849,7343,29211,1614,6001,119547,2672843,1292430,183452,141248,24992,13526,435220,211125,472641,226733,165571,126777,7294,29906,1594,6040,120152,2674227,1294670,184358,142064,24529,13673,459105,222335,454007,218434,167900,128688,7512,30183,1517,6064,121818,2711385,1315080,186684,144055,24225,13719,462818,225411,418522,201601,170474,131034,7786,30077,1577,6087,123761,2747219,1334340,188582,145412,23967,13930,473787,230900,432909,209165,173015,133432,7850,30203,1530,6120,123517,2693716,1309376,189286,145943,23941,14388,426646,208225,474778,230593,174372,134603,7966,30314,1489
"총계","국립",17,381,10746,5370,500,248,47,17,1715,847,1802,892,381,377,4,17,388,10719,5346,518,267,39,12,1691,839,1831,906,390,386,4,17,388,10667,5310,526,271,39,11,1698,851,1826,925,391,387,4,17,386,10558,5272,517,261,36,11,1678,841,1858,931,391,387,4,17,387,10364,5177,517,253,40,14,1619,808,1838,919,391,387,4,17,387,10066,5024,514,249,40,15,1551,779,1820,920,392,388,4,17,387,9798,4897,512,247,40,15,1509,759,1766,878,392,388,4,17,386,9580,4808,514,243,40,12,1498,752,1698,849,399,394,5,17,387,9347,4670,515,242,37,14,1475,720,1671,828,532,356,44,113,19,17,387,9170,4565,513,246,32,15,1483,738,1646,830,537,356,46,116,19,17,385,8978,4486,517,248,34,16,1472,751,1613,811,534,395,27,111,1,17,387,8862,4414,519,246,34,19,1431,716,1515,767,533,395,23,114,1,17,387,8783,4393,525,263,35,21,1429,718,1478,732,543,399,21,123,0,17,387,8697,4339,524,255,35,21,1409,700,1466,739,549,403,17,129,-
"총계","공립",5664,124832,3774159,1795636,164916,120771,26952,13475,601182,286135,673619,313954,128854,128453,401,5721,124082,3616384,1725717,169858,126236,25006,11832,531348,254051,671670,316583,126942,126545,397,5737,123047,3419336,1633109,172705,129288,24801,12041,460401,219172,648159,307241,125703,125353,350,5761,122097,3244936,1548731,174384,131455,25022,12309,467155,223692,638438,306909,125983,125473,510,5789,121030,3079244,1471526,178241,135544,24953,12572,448921,215538,608724,290144,125751,125160,591,5802,119567,2899933,1387667,179079,137027,25243,12888,413408,198927,588570,280990,125292,124513,779,5820,118082,2733287,1310908,179312,137788,24763,12761,428001,206651,593594,282666,124386,123762,624,5841,118086,2678752,1287863,180366,138935,25223,13177,470675,228467,522435,249946,125521,124905,616,5886,118267,2665762,1285831,180376,139278,24974,13368,447234,216972,456978,217723,160907,124057,7050,28341,1459,5909,117744,2624452,1268353,181164,139976,24519,13350,426792,206980,464806,222864,162432,125002,6965,29026,1439,5949,118354,2626405,1270916,182046,140781,24053,13492,450522,218081,446211,214557,164809,126865,7211,29329,1404,5973,120030,2664402,1291731,184402,142784,23764,13541,454697,221385,411014,197816,167355,129194,7494,29212,1455,5996,121978,2700467,1311081,186295,144114,23510,13747,465577,226859,425609,205467,169905,131582,7554,29361,1408,6029,121741,2647300,1286313,187006,144650,23503,14205,418437,204158,467524,226936,171235,132751,7678,29448,1358
"총계","사립",75,1468,45093,21721,1766,944,474,178,7872,3847,7490,3556,1525,1512,13,75,1465,45104,21849,1814,976,459,165,7760,3749,7303,3445,1492,1483,9,75,1457,44392,21551,1837,993,464,168,7493,3603,7417,3533,1473,1466,7,76,1450,43600,21197,1853,1012,461,165,7458,3618,7276,3552,1536,1535,1,76,1449,42869,20949,1865,1032,442,159,7417,3673,6971,3379,1537,1536,1,76,1439,41996,20665,1842,1019,456,167,7283,3647,7036,3442,1530,1525,5,76,1427,40915,20136,1761,988,462,170,7111,3548,6983,3443,1509,1503,6,76,1422,40177,19855,1792,998,462,162,7131,3509,6686,3243,1541,1536,5,75,1409,39501,19565,1767,996,461,167,6970,3384,6186,3032,2578,1436,249,757,136,75,1416,39221,19512,1775,1026,441,161,6945,3407,6189,3039,2602,1419,283,764,136,74,1413,38844,19268,1795,1035,442,165,7111,3503,6183,3066,2557,1428,274,743,112,74,1401,38121,18935,1763,1025,427,159,6690,3310,5993,3018,2586,1445,269,751,121,74,1396,37969,18866,1762,1035,422,162,6781,3323,5822,2966,2567,1451,275,719,122,74,1389,37719,18724,1756,1038,403,162,6800,3367,5788,2918,2588,1449,271,737,131
"서울","계",572,21320,665227,318199,27646,22978,3512,1758,106673,51107,123311,57527,22118,22052,66,578,20973,633486,304022,28391,23716,3283,1547,93166,45035,120268,56832,21792,21701,91,586,20682,598514,287562,29004,24335,3220,1582,83008,39993,114783,54861,21186,21119,67,587,20351,566149,272049,29335,24719,3225,1594,83369,40276,112700,54125,20894,20841,53,591,19993,535948,257914,29639,25186,3196,1642,79825,38623,106085,50664,20762,20687,75,594,19648,502000,241883,29762,25384,3216,1668,72108,34803,101603,48647,20569,20451,118,597,19149,469392,226687,29751,25466,3174,1674,74125,35914,102219,48878,20118,20085,33,599,18854,457517,221187,29613,25433,3240,1715,79656,38703,88172,42406,19790,19744,46,599,18780,450675,218247,29627,25577,3232,1732,75258,36517,78066,37626,24934,19176,1418,4045,295,601,18621,436121,211706,29448,25522,3176,1706,69944,34172,79123,38188,24989,19119,1492,4088,290,603,18625,428333,207869,29191,25321,3114,1733,72529,35323,75440,36538,25070,19180,1552,4059,279,603,18585,424800,206336,28992,25201,3025,1712,70686,34455,67742,32678,25042,19201,1553,4005,283,607,18690,422293,205477,28727,24983,3028,1773,72171,35221,69664,33622,25002,19220,1471,4023,288,607,18561,409536,199293,28608,24889,2962,1794,64898,31569,74375,36011,24968,19150,1475,4070,273
"서울","국립",2,58,1574,789,75,37,5,2,223,112,299,151,58,58,0,2,59,1555,777,77,37,4,1,230,114,286,140,58,58,0,2,59,1545,751,81,37,3,1,224,111,286,152,59,59,0,2,59,1523,751,77,31,5,2,226,115,292,139,59,59,0,2,59,1480,738,77,33,6,4,202,101,290,140,59,59,-,2,59,1392,688,77,34,5,3,200,98,293,148,59,59,-,2,59,1359,671,77,39,6,3,196,98,257,127,59,59,-,2,59,1333,666,77,45,8,2,198,100,253,128,59,59,-,2,59,1330,656,78,54,6,2,201,98,250,125,72,61,1,10,-,2,59,1327,650,76,51,6,4,205,101,241,120,71,61,1,9,-,2,58,1282,635,80,47,6,4,198,102,236,117,71,61,1,9,-,2,59,1284,637,82,49,7,5,196,98,223,109,71,61,1,9,0,2,59,1248,628,84,53,5,4,198,99,230,111,77,61,2,14,0,2,59,1241,619,85,53,4,3,196,96,208,109,77,61,2,14,-
"서울","공립",530,20441,638671,305272,26614,22402,3192,1632,101839,48750,118954,55405,21207,21152,55,536,20088,606779,290986,27327,23125,2978,1432,88384,42720,116101,54850,20891,20809,82,544,19797,572121,274653,27923,23725,2914,1463,78403,37798,110570,52839,20293,20233,60,545,19464,539941,259224,28231,24093,2921,1477,78806,38065,108575,52083,19960,19907,53,549,19105,510001,245194,28552,24563,2899,1530,75337,36407,102050,48668,19827,19752,75,552,18758,476455,229305,28668,24753,2914,1552,67656,32585,97513,46606,19629,19516,113,555,18262,444376,214328,28684,24837,2870,1557,69783,33744,98068,46820,19187,19159,28,557,17975,433086,209069,28525,24792,2932,1602,75423,36608,84102,40416,18837,18796,41,558,17911,426698,206307,28569,24942,2933,1618,71039,34431,74298,35762,23447,18306,1264,3648,229,560,17753,412404,199810,28380,24867,2886,1596,65782,32128,75411,36355,23485,18251,1318,3692,224,562,17760,405069,196219,28111,24665,2829,1621,68419,33288,71702,34668,23570,18310,1387,3658,215,562,17733,402366,195097,27942,24550,2748,1604,66789,32513,64125,30828,23531,18324,1384,3604,219,566,17845,400137,194325,27678,24326,2758,1664,68206,33266,66185,31831,23455,18323,1296,3613,223,566,17727,387628,188294,27562,24228,2710,1689,60891,29564,70999,34275,23421,18260,1299,3653,209
