"시도별","설립주체별","학교현황별","항목","단위","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년",
"총계","계","학교수","중학교 개황","개","2999","3032","3077","3106","3130","3153","3162","3173","3186","3204","3209","3213","3214","3214","3223",
"총계","계","남자","중학교 개황","","440","428","421","418","415","415","411","405","400","398","393","391","387","374","368",
"총계","계","여자","중학교 개황","","392","379","376","373","368","368","366","364","356","356","354","350","350","340","338",
"총계","계","공학","중학교 개황","","2167","2225","2280","2315","2347","2370","2385","2404","2430","2450","2462","2472","2477","2500","2517",
"총계","계","교직원수","중학교 개황","명","119011","120014","120682","121102","120840","","","","","","","120314","120819","121239","",
"총계","계","교원수","중학교 개황","","106919","107986","108700","109075","108781","110658","111004","112690","113349","111247","109525","109130","109906","110556","111894",
"총계","계","여자","중학교 개황","","67344","68673","70141","71091","71466","73934","74737","76116","77008","76298","75375","75616","76615","77535","78844",
"총계","계","직원수","중학교 개황","","12092","12028","11982","12027","12059","11946","12061","11870","11905","11619","11413","11184","10913","10683","10650",
"총계","계","여자","중학교 개황","","4398","4412","4438","4574","4578","4714","4898","4946","5056","5075","5158","5119","5192","5272","5463",
"총계","계","입학자수","중학교 개황","명","690037","679762","675779","652115","644140","622095","596671","610898","528611","466948","470697","452216","416838","431079","473234",
"총계","계","여자","중학교 개황","","321325","316826","318297","308052","309326","296613","284437","290917","252663","222633","225568","217360","200498","207980","229626",
"총계","계","졸업자수","중학교 개황","명","612936","677547","690438","674864","668575","668224","645975","635827","606494","587834","593614","522987","457771","464717","445526",
"총계","계","여자","중학교 개황","","289001","320398","324182","314153","311316","314366","305778","305320","288829","280469","282500","250090","217878","222488","213968",
"총계","계","교실수","중학교 개황","개","60073","60292","59908","59674","60775","","","","","86222","85692","85759","85343","85004","85476",
"총계","계","정규교실","중학교 개황","","59890","60101","59756","59525","60525","60423","59362","58987","58665","","","","","","",
"총계","계","가·대용교실","중학교 개황","","183","191","152","149","250","236","265","245","242","","","","","","",
"총계","계","일반교실","중학교 개황","","","","","","","","","","","52246","51367","51078","50680","50297","50862",
"총계","계","교과교실","중학교 개황","","","","","","","","","","","10545","10866","11075","11196","11245","11265",
"총계","계","특별교실","중학교 개황","","","","","","","","","","","21371","21561","21845","21889","22038","22045",
"총계","계","수준별교실","중학교 개황","","","","","","","","","","","2060","1898","1761","1578","1424","1304",
"총계","계","학급수","중학교 개황","개","58771","58950","58804","58396","58373","57830","57086","56843","56305","54855","53184","52294","51832","51534","52195",
"총계","계","1학년","중학교 개황","","19235","19158","19163","18681","18666","18280","17831","18186","17197","16297","16754","16525","15857","16428","17378",
"총계","계","2학년","중학교 개황","","19424","19258","19121","19143","18770","18756","18336","17981","18520","17399","16455","16880","16642","15982","16420",
"총계","계","3학년","중학교 개황","","19131","19409","19223","19085","19205","18861","18788","18412","18239","18799","17627","16537","16974","16754","15932",
"총계","계","특수학급","중학교 개황","","981","1125","1297","1487","1732","1933","2131","2264","2349","2360","2348","2352","2359","2370","2465",
"총계","계","학생수","중학교 개황","명","2075311","2063159","2038611","2006972","1974798","1910572","1849094","1804189","1717911","1585951","1457490","1381334","1334288","1294559","1315846",
"총계","계","여자","중학교 개황","","973094","963020","952515","943231","937760","910783","883808","859506","819331","756033","696393","661045","640686","623115","635421",
"총계","계","1학년","중학교 개황","","689540","680114","679350","656572","646048","615824","595627","600658","528857","462990","470885","452231","416848","431245","473365",
"총계","계","여자","중학교 개황","","320939","316546","319860","310933","310380","293375","284234","285796","252855","220455","225575","217336","200540","208015","229671",
"총계","계","2학년","중학교 개황","","701958","686058","677485","676887","655012","643632","613416","593260","598356","526895","461349","469168","450253","415189","429302",
"총계","계","여자","중학교 개황","","329106","319359","315429","318756","310272","309190","292199","283145","284651","251962","219655","224793","216376","199817","207132",
"총계","계","3학년","중학교 개황","","683813","696987","681776","673513","673738","651116","640051","610271","590698","596066","525256","459935","467187","448125","413179",
"총계","계","여자","중학교 개황","","323049","327115","317226","313542","317108","308218","307375","290565","281825","283616","251163","218916","223770","215283","198618",
"총계","국립","학교수","중학교 개황","개","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9",
"총계","국립","남자","중학교 개황","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",
"총계","국립","여자","중학교 개황","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",
"총계","국립","공학","중학교 개황","","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7",
"총계","국립","교직원수","중학교 개황","명","393","404","414","411","411","","","","","","","424","422","427","",
"총계","국립","교원수","중학교 개황","","373","385","392","387","388","399","406","406","406","407","406","401","400","405","406",
"총계","국립","여자","중학교 개황","","198","212","224","232","247","259","268","269","270","272","274","273","269","275","264",
"총계","국립","직원수","중학교 개황","","20","19","22","24","23","21","21","23","21","18","20","23","22","22","20",
"총계","국립","여자","중학교 개황","","4","4","7","10","7","5","7","7","6","6","7","5","8","9","11",
"총계","국립","입학자수","중학교 개황","명","2206","2145","2139","2039","2056","1993","1941","1888","1695","1523","1458","1424","1352","1325","1370",
"총계","국립","여자","중학교 개황","","1005","975","961","915","983","931","955","933","855","711","655","694","638","679","673",
"총계","국립","졸업자수","중학교 개황","명","2078","2141","2182","2203","2165","2121","1991","2081","1919","1918","1890","1701","1537","1450","1394",
"총계","국립","여자","중학교 개황","","948","987","1004","1018","1003","956","900","999","905","940","923","861","728","663","670",
"총계","국립","교실수","중학교 개황","개","175","177","178","179","178","","","","","292","282","304","294","294","296",
"총계","국립","정규교실","중학교 개황","","175","177","178","179","177","198","188","194","193","","","","","","",
"총계","국립","가·대용교실","중학교 개황","","0","0","0","0","1","1","1","1","1","","","","","","",
"총계","국립","일반교실","중학교 개황","","","","","","","","","","","158","151","150","128","128","128",
"총계","국립","교과교실","중학교 개황","","","","","","","","","","","79","79","67","76","76","78",
"총계","국립","특별교실","중학교 개황","","","","","","","","","","","51","49","84","86","86","87",
"총계","국립","수준별교실","중학교 개황","","","","","","","","","","","4","3","3","4","4","3",
"총계","국립","학급수","중학교 개황","개","180","186","186","187","187","185","186","186","186","182","178","176","177","175","175",
"총계","국립","1학년","중학교 개황","","59","59","60","59","59","58","59","59","58","56","55","55","56","55","54",
"총계","국립","2학년","중학교 개황","","60","59","59","60","59","59","58","59","59","58","56","56","55","56","55",
"총계","국립","3학년","중학교 개황","","59","60","59","59","60","59","59","58","59","59","58","56","56","54","56",
"총계","국립","특수학급","중학교 개황","","2","8","8","9","9","9","10","10","10","9","9","9","10","10","10",
"총계","국립","학생수","중학교 개황","명","6537","6534","6556","6354","6237","6031","5966","5764","5518","5117","4686","4420","4222","4087","4065",
"총계","국립","여자","중학교 개황","","3006","3000","3008","2892","2868","2797","2853","2790","2730","2495","2235","2078","1991","1999","2001",
"총계","국립","1학년","중학교 개황","","2182","2149","2143","2030","2053","1929","1932","1902","1700","1530","1459","1420","1351","1330","1377",
"총계","국립","여자","중학교 개황","","1004","983","969","912","979","885","952","933","861","715","656","692","635","687","678",
"총계","국립","2학년","중학교 개황","","2189","2200","2183","2140","2041","2088","1923","1931","1892","1689","1528","1463","1408","1353","1335",
