"시도별","지출목적별",1997. 01,1997. 02,1997. 03,1997. 04,1997. 05,1997. 06,1997. 07,1997. 08,1997. 09,1997. 10,1997. 11,1997. 12,1998. 01,1998. 02,1998. 03,1998. 04,1998. 05,1998. 06,1998. 07,1998. 08,1998. 09,1998. 10,1998. 11,1998. 12,1999. 01,1999. 02,1999. 03,1999. 04,1999. 05,1999. 06,1999. 07,1999. 08,1999. 09,1999. 10,1999. 11,1999. 12,2000. 01,2000. 02,2000. 03,2000. 04,2000. 05,2000. 06,2000. 07,2000. 08,2000. 09,2000. 10,2000. 11,2000. 12,2001. 01,2001. 02,2001. 03,2001. 04,2001. 05,2001. 06,2001. 07,2001. 08,2001. 09,2001. 10,2001. 11,2001. 12,2002. 01,2002. 02,2002. 03,2002. 04,2002. 05,2002. 06,2002. 07,2002. 08,2002. 09,2002. 10,2002. 11,2002. 12,2003. 01,2003. 02,2003. 03,2003. 04,2003. 05,2003. 06,2003. 07,2003. 08,2003. 09,2003. 10,2003. 11,2003. 12,2004. 01,2004. 02,2004. 03,2004. 04,2004. 05,2004. 06,2004. 07,2004. 08,2004. 09,2004. 10,2004. 11,2004. 12,2005. 01,2005. 02,2005. 03,2005. 04,2005. 05,2005. 06,2005. 07,2005. 08,2005. 09,2005. 10,2005. 11,2005. 12,2006. 01,2006. 02,2006. 03,2006. 04,2006. 05,2006. 06,2006. 07,2006. 08,2006. 09,2006. 10,2006. 11,2006. 12,2007. 01,2007. 02,2007. 03,2007. 04,2007. 05,2007. 06,2007. 07,2007. 08,2007. 09,2007. 10,2007. 11,2007. 12,2008. 01,2008. 02,2008. 03,2008. 04,2008. 05,2008. 06,2008. 07,2008. 08,2008. 09,2008. 10,2008. 11,2008. 12,2009. 01,2009. 02,2009. 03,2009. 04,2009. 05,2009. 06,2009. 07,2009. 08,2009. 09,2009. 10,2009. 11,2009. 12,2010. 01,2010. 02,2010. 03,2010. 04,2010. 05,2010. 06,2010. 07,2010. 08,2010. 09,2010. 10,2010. 11,2010. 12,2011. 01,2011. 02,2011. 03,2011. 04,2011. 05,2011. 06,2011. 07,2011. 08,2011. 09,2011. 10,2011. 11,2011. 12,2012. 01,2012. 02,2012. 03,2012. 04,2012. 05,2012. 06,2012. 07,2012. 08,2012. 09,2012. 10,2012. 11,2012. 12,2013. 01,2013. 02,2013. 03,2013. 04,2013. 05,2013. 06,2013. 07,2013. 08,2013. 09,2013. 10,2013. 11,2013. 12,2014. 01,2014. 02,2014. 03,2014. 04,2014. 05,2014. 06,2014. 07,2014. 08,2014. 09,2014. 10,2014. 11,2014. 12,2015. 01,2015. 02,2015. 03,2015. 04,2015. 05,2015. 06,2015. 07,2015. 08,2015. 09,2015. 10,2015. 11,2015. 12,2016. 01,2016. 02,2016. 03,2016. 04,2016. 05,2016. 06,2016. 07,2016. 08,2016. 09,2016. 10,2016. 11,2016. 12,2017. 01,2017. 02,2017. 03,2017. 04,2017. 05,2017. 06,2017. 07,2017. 08,2017. 09,2017. 10,2017. 11,2017. 12,2018. 01,2018. 02,2018. 03,2018. 04,2018. 05,2018. 06,2018. 07,2018. 08,2018. 09,2018. 10,2018. 11,2018. 12,2019. 01,2019. 02,2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12,2020. 01,2020. 02,2020. 03,2020. 04,2020. 05,2020. 06,2020. 07,2020. 08,2020. 09,2020. 10,2020. 11,2020. 12,2021. 01,2021. 02,2021. 03,2021. 04,2021. 05,2021. 06,2021. 07,2021. 08,2021. 09
"전국","10 교육",50.935,51.159,53.080,53.437,53.571,53.705,53.795,53.795,53.839,53.928,53.973,54.198,54.600,55.046,55.359,55.359,55.359,55.314,55.314,55.314,55.314,55.270,55.224,55.180,55.135,55.135,56.029,56.029,56.073,56.073,56.073,56.119,56.119,56.163,56.163,56.163,56.412,56.588,59.173,59.290,59.290,59.115,59.115,59.115,59.232,59.290,59.290,59.290,59.526,59.879,61.758,61.758,61.700,61.700,61.758,61.700,61.700,61.758,61.993,62.053,62.053,62.229,65.050,65.343,65.402,65.402,65.402,65.461,65.519,65.519,65.579,65.579,65.813,65.990,69.045,69.105,69.162,69.222,69.222,69.280,69.280,69.340,69.340,69.751,69.868,69.927,72.865,72.923,73.041,73.041,73.099,73.099,73.099,73.099,73.099,73.099,73.315,73.693,75.885,75.960,75.960,75.960,75.960,76.036,76.036,76.036,76.036,76.036,76.187,76.792,79.513,79.664,79.739,79.815,79.815,79.815,79.815,79.815,79.891,79.891,80.269,81.100,84.350,84.501,84.577,84.577,84.652,84.652,84.652,84.728,84.728,84.804,85.257,85.484,88.885,89.112,89.187,89.187,89.187,89.187,89.263,89.263,89.263,89.338,89.338,89.565,90.774,90.926,90.926,90.926,91.002,91.077,91.152,91.152,91.152,91.228,91.609,91.702,92.723,92.908,93.001,93.001,93.001,93.094,93.094,93.187,93.279,93.279,93.743,93.929,94.208,94.393,94.393,94.486,94.486,94.579,94.579,94.672,94.764,94.857,95.117,95.405,94.792,95.266,95.544,95.600,95.767,96.175,96.277,96.324,96.407,96.472,97.048,97.354,96.528,96.602,96.695,96.760,96.788,96.844,96.955,96.983,97.011,97.085,97.382,97.586,98.319,98.356,98.394,98.421,98.431,98.468,98.588,98.561,98.579,98.663,99.13,99.26,99.74,99.98,100.02,100.06,100.12,100.19,100.34,100.35,100.37,100.44,100.86,101.09,101.42,101.54,101.67,101.69,101.74,101.78,101.91,101.95,101.97,102.01,102.30,102.46,102.71,102.80,102.83,102.86,102.87,102.91,102.94,102.95,102.98,103.01,103.40,103.69,103.99,104.20,104.24,104.26,104.28,104.38,104.46,104.52,104.52,104.57,105.04,105.15,105.19,105.25,105.34,105.39,105.39,105.42,103.58,103.72,103.77,103.83,104.08,104.26,104.26,102.69,102.44,102.36,102.44,102.48,101.35,101.44,101.56,100.91,101.10,101.26,101.45,101.60,101.66,101.69,101.74,101.79,101.61
"전국","10.1 유치원 및 초등교육",49.317,49.360,52.719,53.097,53.097,53.224,53.265,53.265,53.265,53.265,53.349,53.769,54.022,54.148,54.946,54.904,54.778,54.778,54.778,54.778,54.946,55.072,55.072,55.072,55.198,55.239,55.912,55.198,55.198,55.198,55.198,55.198,55.198,55.282,55.282,55.282,55.278,55.572,59.214,59.332,59.332,59.332,59.332,59.332,59.449,59.567,59.567,59.567,59.567,59.567,65.147,65.265,65.382,65.382,65.382,65.382,65.441,65.441,65.441,65.441,65.441,65.499,71.199,71.256,71.315,71.315,71.315,71.315,71.374,71.433,71.433,71.433,71.492,71.785,76.367,76.486,76.720,76.720,76.720,76.720,76.720,76.720,76.720,76.720,76.720,76.720,83.006,83.181,83.181,83.181,83.181,83.181,83.181,83.181,83.181,83.181,83.127,83.127,89.876,89.876,89.966,89.966,89.966,89.966,89.966,89.966,89.966,89.966,89.966,89.966,97.338,97.514,97.692,97.692,97.692,97.604,97.692,97.692,97.692,97.692,97.692,97.692,106.751,106.751,106.751,106.751,106.751,106.751,106.751,106.751,106.751,106.751,106.751,106.751,115.544,115.721,115.721,115.721,115.721,115.721,115.721,115.721,115.721,115.721,115.721,115.721,121.937,122.027,122.027,122.027,122.027,122.027,122.027,122.027,122.027,122.027,121.770,121.770,128.684,129.324,129.324,129.324,129.324,129.324,129.324,129.324,129.324,129.324,129.324,129.324,132.909,132.909,132.909,132.909,132.909,132.909,132.909,132.909,132.909,132.909,133.191,133.191,118.043,118.146,118.146,118.146,118.146,118.146,118.146,118.146,118.146,118.146,118.146,118.146,88.325,88.337,88.389,88.389,88.389,88.389,88.389,88.389,88.389,88.389,88.389,88.389,93.728,93.728,93.728,93.728,93.728,93.728,93.728,93.728,93.728,93.728,93.50,93.50,101.28,101.28,101.28,101.28,101.28,101.28,101.28,101.28,101.39,101.39,101.39,101.39,103.01,103.01,103.01,103.01,103.01,103.01,103.01,103.01,103.01,103.01,103.03,103.03,104.01,104.01,104.01,104.01,104.01,104.01,104.01,104.01,104.01,104.01,104.01,104.01,106.23,106.12,106.12,106.12,106.12,106.12,106.12,106.12,106.12,106.12,106.12,106.12,105.70,105.70,105.70,105.70,105.70,105.70,105.27,105.27,105.26,105.26,105.26,105.26,105.26,105.26,98.91,98.58,98.58,98.58,98.55,98.55,98.55,98.55,98.55,98.55,93.30,93.30,93.30,93.30,93.30,93.30,93.46
"전국","유치원 및 초등교육",49.317,49.360,52.719,53.097,53.097,53.224,53.265,53.265,53.265,53.265,53.349,53.769,54.022,54.148,54.946,54.904,54.778,54.778,54.778,54.778,54.946,55.072,55.072,55.072,55.198,55.239,55.912,55.198,55.198,55.198,55.198,55.198,55.198,55.282,55.282,55.282,55.278,55.572,59.214,59.332,59.332,59.332,59.332,59.332,59.449,59.567,59.567,59.567,59.567,59.567,65.147,65.265,65.382,65.382,65.382,65.382,65.441,65.441,65.441,65.441,65.441,65.499,71.199,71.256,71.315,71.315,71.315,71.315,71.374,71.433,71.433,71.433,71.492,71.785,76.367,76.486,76.720,76.720,76.720,76.720,76.720,76.720,76.720,76.720,76.720,76.720,83.006,83.181,83.181,83.181,83.181,83.181,83.181,83.181,83.181,83.181,83.127,83.127,89.876,89.876,89.966,89.966,89.966,89.966,89.966,89.966,89.966,89.966,89.966,89.966,97.338,97.514,97.692,97.692,97.692,97.604,97.692,97.692,97.692,97.692,97.692,97.692,106.751,106.751,106.751,106.751,106.751,106.751,106.751,106.751,106.751,106.751,106.751,106.751,115.544,115.721,115.721,115.721,115.721,115.721,115.721,115.721,115.721,115.721,115.721,115.721,121.937,122.027,122.027,122.027,122.027,122.027,122.027,122.027,122.027,122.027,121.770,121.770,128.684,129.324,129.324,129.324,129.324,129.324,129.324,129.324,129.324,129.324,129.324,129.324,132.909,132.909,132.909,132.909,132.909,132.909,132.909,132.909,132.909,132.909,133.191,133.191,118.043,118.146,118.146,118.146,118.146,118.146,118.146,118.146,118.146,118.146,118.146,118.146,88.325,88.337,88.389,88.389,88.389,88.389,88.389,88.389,88.389,88.389,88.389,88.389,93.728,93.728,93.728,93.728,93.728,93.728,93.728,93.728,93.728,93.728,93.50,93.50,101.28,101.28,101.28,101.28,101.28,101.28,101.28,101.28,101.39,101.39,101.39,101.39,103.01,103.01,103.01,103.01,103.01,103.01,103.01,103.01,103.01,103.01,103.03,103.03,104.01,104.01,104.01,104.01,104.01,104.01,104.01,104.01,104.01,104.01,104.01,104.01,106.23,106.12,106.12,106.12,106.12,106.12,106.12,106.12,106.12,106.12,106.12,106.12,105.70,105.70,105.70,105.70,105.70,105.70,105.27,105.27,105.26,105.26,105.26,105.26,105.26,105.26,98.91,98.58,98.58,98.58,98.55,98.55,98.55,98.55,98.55,98.55,93.30,93.30,93.30,93.30,93.30,93.30,93.46
"전국","유치원납입금",49.317,49.360,52.719,53.097,53.097,53.224,53.265,53.265,53.265,53.265,53.349,53.769,54.022,54.148,54.946,54.904,54.778,54.778,54.778,54.778,54.946,55.072,55.072,55.072,55.198,55.239,55.912,55.198,55.198,55.198,55.198,55.198,55.198,55.282,55.282,55.282,55.278,55.572,59.214,59.332,59.332,59.332,59.332,59.332,59.449,59.567,59.567,59.567,59.567,59.567,65.147,65.265,65.382,65.382,65.382,65.382,65.441,65.441,65.441,65.441,65.441,65.499,71.199,71.256,71.315,71.315,71.315,71.315,71.374,71.433,71.433,71.433,71.492,71.785,76.367,76.486,76.720,76.720,76.720,76.720,76.720,76.720,76.720,76.720,76.720,76.720,83.006,83.181,83.181,83.181,83.181,83.181,83.181,83.181,83.181,83.181,83.127,83.127,89.876,89.876,89.966,89.966,89.966,89.966,89.966,89.966,89.966,89.966,89.966,89.966,97.338,97.514,97.692,97.692,97.692,97.604,97.692,97.692,97.692,97.692,97.692,97.692,106.751,106.751,106.751,106.751,106.751,106.751,106.751,106.751,106.751,106.751,106.751,106.751,115.544,115.721,115.721,115.721,115.721,115.721,115.721,115.721,115.721,115.721,115.721,115.721,121.937,122.027,122.027,122.027,122.027,122.027,122.027,122.027,122.027,122.027,121.770,121.770,128.684,129.324,129.324,129.324,129.324,129.324,129.324,129.324,129.324,129.324,129.324,129.324,132.909,132.909,132.909,132.909,132.909,132.909,132.909,132.909,132.909,132.909,133.191,133.191,118.043,118.146,118.146,118.146,118.146,118.146,118.146,118.146,118.146,118.146,118.146,118.146,88.325,88.337,88.389,88.389,88.389,88.389,88.389,88.389,88.389,88.389,88.389,88.389,93.728,93.728,93.728,93.728,93.728,93.728,93.728,93.728,93.728,93.728,93.50,93.50,101.28,101.28,101.28,101.28,101.28,101.28,101.28,101.28,101.39,101.39,101.39,101.39,103.01,103.01,103.01,103.01,103.01,103.01,103.01,103.01,103.01,103.01,103.03,103.03,104.01,104.01,104.01,104.01,104.01,104.01,104.01,104.01,104.01,104.01,104.01,104.01,106.23,106.12,106.12,106.12,106.12,106.12,106.12,106.12,106.12,106.12,106.12,106.12,105.70,105.70,105.70,105.70,105.70,105.70,105.27,105.27,105.26,105.26,105.26,105.26,105.26,105.26,98.91,98.58,98.58,98.58,98.55,98.55,98.55,98.55,98.55,98.55,93.30,93.30,93.30,93.30,93.30,93.30,93.46
"전국","10.2 중등교육",72.055,72.055,75.726,75.856,75.856,75.918,75.918,75.918,75.918,75.918,75.918,75.918,75.918,75.918,75.982,75.982,75.982,75.982,75.982,75.982,75.982,75.982,75.982,75.982,75.982,75.982,82.874,82.874,82.874,82.874,82.874,82.874,82.874,82.874,82.874,82.874,83.011,83.011,90.605,90.605,90.605,88.221,88.221,88.221,89.281,89.281,89.281,89.369,89.369,89.369,90.076,90.076,90.076,89.987,89.987,89.987,90.076,90.076,90.076,90.076,90.076,90.076,96.876,96.876,96.876,96.876,96.876,96.876,96.964,96.964,96.964,96.964,96.964,96.964,102.793,102.881,102.881,102.881,102.881,102.881,102.881,102.881,102.881,102.881,102.881,102.881,107.472,107.472,107.472,107.472,107.472,107.472,107.472,107.472,107.472,107.472,106.428,106.428,110.265,110.265,110.265,110.265,110.265,110.265,110.265,110.265,110.265,110.265,110.265,110.265,113.553,113.553,113.553,113.553,113.553,113.553,113.553,113.553,113.553,113.553,113.553,113.553,118.265,118.265,118.265,118.265,118.265,118.265,118.265,118.265,118.265,118.265,118.265,118.265,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,99.619,99.619,99.619,99.619,99.619,99.619,99.619,99.619,99.619,99.619,99.655,99.655,99.727,99.727,99.727,99.727,99.727,99.727,99.727,99.727,99.727,99.727,99.727,99.727,99.763,99.763,99.763,99.763,99.763,99.763,99.763,99.763,99.763,99.763,99.763,99.763,99.823,99.823,99.823,99.823,99.823,99.823,99.823,99.823,99.823,99.823,99.82,99.82,100.02,100.02,100.02,100.02,100.02,100.02,100.06,100.06,100.06,100.06,100.06,100.06,100.11,100.11,100.11,100.11,100.11,100.11,100.11,100.11,100.11,100.11,100.14,100.14,100.44,100.44,100.44,100.44,100.44,100.44,100.44,100.44,100.44,100.44,100.44,100.44,100.47,100.47,100.47,100.47,100.47,100.47,100.47,100.47,100.47,100.47,100.47,100.47,97.85,97.85,97.85,97.45,97.26,97.26,64.07,64.07,64.07,64.07,64.07,64.07,64.07,35.18,33.08,31.20,31.20,31.20,16.40,16.40,16.40,4.27,4.27,4.27,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"전국","중등교육",72.055,72.055,75.726,75.856,75.856,75.918,75.918,75.918,75.918,75.918,75.918,75.918,75.918,75.918,75.982,75.982,75.982,75.982,75.982,75.982,75.982,75.982,75.982,75.982,75.982,75.982,82.874,82.874,82.874,82.874,82.874,82.874,82.874,82.874,82.874,82.874,83.011,83.011,90.605,90.605,90.605,88.221,88.221,88.221,89.281,89.281,89.281,89.369,89.369,89.369,90.076,90.076,90.076,89.987,89.987,89.987,90.076,90.076,90.076,90.076,90.076,90.076,96.876,96.876,96.876,96.876,96.876,96.876,96.964,96.964,96.964,96.964,96.964,96.964,102.793,102.881,102.881,102.881,102.881,102.881,102.881,102.881,102.881,102.881,102.881,102.881,107.472,107.472,107.472,107.472,107.472,107.472,107.472,107.472,107.472,107.472,106.428,106.428,110.265,110.265,110.265,110.265,110.265,110.265,110.265,110.265,110.265,110.265,110.265,110.265,113.553,113.553,113.553,113.553,113.553,113.553,113.553,113.553,113.553,113.553,113.553,113.553,118.265,118.265,118.265,118.265,118.265,118.265,118.265,118.265,118.265,118.265,118.265,118.265,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,99.619,99.619,99.619,99.619,99.619,99.619,99.619,99.619,99.619,99.619,99.655,99.655,99.727,99.727,99.727,99.727,99.727,99.727,99.727,99.727,99.727,99.727,99.727,99.727,99.763,99.763,99.763,99.763,99.763,99.763,99.763,99.763,99.763,99.763,99.763,99.763,99.823,99.823,99.823,99.823,99.823,99.823,99.823,99.823,99.823,99.823,99.82,99.82,100.02,100.02,100.02,100.02,100.02,100.02,100.06,100.06,100.06,100.06,100.06,100.06,100.11,100.11,100.11,100.11,100.11,100.11,100.11,100.11,100.11,100.11,100.14,100.14,100.44,100.44,100.44,100.44,100.44,100.44,100.44,100.44,100.44,100.44,100.44,100.44,100.47,100.47,100.47,100.47,100.47,100.47,100.47,100.47,100.47,100.47,100.47,100.47,97.85,97.85,97.85,97.45,97.26,97.26,64.07,64.07,64.07,64.07,64.07,64.07,64.07,35.18,33.08,31.20,31.20,31.20,16.40,16.40,16.40,4.27,4.27,4.27,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"전국","고등학교납입금",72.048,72.048,75.702,75.855,75.855,75.900,75.900,75.900,75.900,75.900,75.900,75.900,75.900,75.900,75.933,75.933,75.933,75.933,75.933,75.933,75.933,75.933,75.933,75.933,75.933,75.933,82.864,82.864,82.864,82.887,82.887,82.887,82.887,82.887,82.887,82.887,83.011,83.011,90.605,90.605,90.605,88.221,88.221,88.221,89.281,89.281,89.281,89.369,89.369,89.369,90.076,90.076,90.076,89.987,89.987,89.987,90.076,90.076,90.076,90.076,90.076,90.076,96.876,96.876,96.876,96.876,96.876,96.876,96.964,96.964,96.964,96.964,96.964,96.964,102.793,102.881,102.881,102.881,102.881,102.881,102.881,102.881,102.881,102.881,102.881,102.881,107.472,107.472,107.472,107.472,107.472,107.472,107.472,107.472,107.472,107.472,106.428,106.428,110.265,110.265,110.265,110.265,110.265,110.265,110.265,110.265,110.265,110.265,110.265,110.265,113.553,113.553,113.553,113.553,113.553,113.553,113.553,113.553,113.553,113.553,113.553,113.553,118.265,118.265,118.265,118.265,118.265,118.265,118.265,118.265,118.265,118.265,118.265,118.265,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,120.458,99.619,99.619,99.619,99.619,99.619,99.619,99.619,99.619,99.619,99.619,99.655,99.655,99.727,99.727,99.727,99.727,99.727,99.727,99.727,99.727,99.727,99.727,99.727,99.727,99.763,99.763,99.763,99.763,99.763,99.763,99.763,99.763,99.763,99.763,99.763,99.763,99.823,99.823,99.823,99.823,99.823,99.823,99.823,99.823,99.823,99.823,99.82,99.82,100.02,100.02,100.02,100.02,100.02,100.02,100.06,100.06,100.06,100.06,100.06,100.06,100.11,100.11,100.11,100.11,100.11,100.11,100.11,100.11,100.11,100.11,100.14,100.14,100.44,100.44,100.44,100.44,100.44,100.44,100.44,100.44,100.44,100.44,100.44,100.44,100.47,100.47,100.47,100.47,100.47,100.47,100.47,100.47,100.47,100.47,100.47,100.47,97.85,97.85,97.85,97.45,97.26,97.26,64.07,64.07,64.07,64.07,64.07,64.07,64.07,35.18,33.08,31.20,31.20,31.20,16.40,16.40,16.40,4.27,4.27,4.27,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"전국","10.3 고등교육",49.504,49.504,53.037,53.037,53.037,53.037,53.037,53.037,53.078,53.078,53.078,53.078,53.078,53.078,53.625,53.625,53.625,53.625,53.625,53.625,53.668,53.668,53.668,53.668,53.668,53.668,53.962,53.962,54.046,54.046,54.046,54.046,54.088,54.088,54.088,54.088,54.172,54.172,58.992,58.992,58.992,58.934,58.934,58.934,58.644,58.644,58.644,58.644,58.644,58.644,62.534,62.534,62.128,62.128,62.128,62.128,62.069,62.069,62.069,62.069,62.069,62.069,66.947,66.715,66.715,66.656,66.656,66.656,66.715,66.715,66.715,66.715,66.715,66.715,72.056,71.940,71.824,71.824,71.824,71.824,71.882,71.882,71.882,71.882,71.882,71.882,77.515,77.456,77.456,77.340,77.282,77.282,77.282,77.282,77.282,77.282,77.429,77.429,82.056,82.056,81.974,81.893,81.893,81.893,81.893,81.893,81.893,81.893,81.893,81.893,87.493,87.493,87.493,87.493,87.493,87.412,87.331,87.331,87.331,87.331,87.331,87.331,94.068,94.068,93.986,93.905,93.905,93.905,93.824,93.824,93.824,93.824,93.824,93.824,100.967,100.967,100.967,100.967,100.804,100.804,100.723,100.723,100.723,100.723,100.723,100.723,101.859,101.859,101.859,101.859,101.859,101.859,102.022,102.022,102.022,102.022,102.010,102.010,102.936,102.936,102.936,102.936,102.936,102.936,103.039,103.039,103.039,103.039,103.039,103.039,104.787,104.787,104.787,104.787,104.787,104.787,104.684,104.684,104.684,104.684,104.777,104.777,100.828,100.838,100.838,100.838,100.838,100.838,100.797,100.797,100.797,100.797,100.797,100.797,100.262,100.262,100.262,100.262,100.262,100.262,100.273,100.273,100.273,100.273,100.273,100.273,100.026,100.026,100.026,100.026,100.026,100.026,100.026,100.026,100.026,100.026,100.04,100.04,99.99,99.99,99.99,99.99,99.99,99.98,100.00,100.00,100.00,100.00,100.00,100.00,100.02,100.02,100.02,100.02,100.02,100.02,100.03,100.03,100.03,100.03,100.03,100.03,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.39,99.39,99.39,99.39,99.39,99.39,99.39,99.39,99.39,99.39,99.39,99.39,99.01,99.01,99.01,99.01,99.01,99.01,97.26,97.26,97.26,97.26,97.26,97.26,98.60,98.60,98.60,98.60,98.60,98.60,98.60
"전국","고등교육",49.504,49.504,53.037,53.037,53.037,53.037,53.037,53.037,53.078,53.078,53.078,53.078,53.078,53.078,53.625,53.625,53.625,53.625,53.625,53.625,53.668,53.668,53.668,53.668,53.668,53.668,53.962,53.962,54.046,54.046,54.046,54.046,54.088,54.088,54.088,54.088,54.172,54.172,58.992,58.992,58.992,58.934,58.934,58.934,58.644,58.644,58.644,58.644,58.644,58.644,62.534,62.534,62.128,62.128,62.128,62.128,62.069,62.069,62.069,62.069,62.069,62.069,66.947,66.715,66.715,66.656,66.656,66.656,66.715,66.715,66.715,66.715,66.715,66.715,72.056,71.940,71.824,71.824,71.824,71.824,71.882,71.882,71.882,71.882,71.882,71.882,77.515,77.456,77.456,77.340,77.282,77.282,77.282,77.282,77.282,77.282,77.429,77.429,82.056,82.056,81.974,81.893,81.893,81.893,81.893,81.893,81.893,81.893,81.893,81.893,87.493,87.493,87.493,87.493,87.493,87.412,87.331,87.331,87.331,87.331,87.331,87.331,94.068,94.068,93.986,93.905,93.905,93.905,93.824,93.824,93.824,93.824,93.824,93.824,100.967,100.967,100.967,100.967,100.804,100.804,100.723,100.723,100.723,100.723,100.723,100.723,101.859,101.859,101.859,101.859,101.859,101.859,102.022,102.022,102.022,102.022,102.010,102.010,102.936,102.936,102.936,102.936,102.936,102.936,103.039,103.039,103.039,103.039,103.039,103.039,104.787,104.787,104.787,104.787,104.787,104.787,104.684,104.684,104.684,104.684,104.777,104.777,100.828,100.838,100.838,100.838,100.838,100.838,100.797,100.797,100.797,100.797,100.797,100.797,100.262,100.262,100.262,100.262,100.262,100.262,100.273,100.273,100.273,100.273,100.273,100.273,100.026,100.026,100.026,100.026,100.026,100.026,100.026,100.026,100.026,100.026,100.04,100.04,99.99,99.99,99.99,99.99,99.99,99.98,100.00,100.00,100.00,100.00,100.00,100.00,100.02,100.02,100.02,100.02,100.02,100.02,100.03,100.03,100.03,100.03,100.03,100.03,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.39,99.39,99.39,99.39,99.39,99.39,99.39,99.39,99.39,99.39,99.39,99.39,99.01,99.01,99.01,99.01,99.01,99.01,97.26,97.26,97.26,97.26,97.26,97.26,98.60,98.60,98.60,98.60,98.60,98.60,98.60
"전국","전문대학납입금",48.852,48.852,53.802,53.802,53.802,53.802,53.802,53.802,53.802,53.802,53.802,53.802,53.802,53.802,54.127,54.127,54.127,54.127,54.127,54.127,54.127,54.127,54.127,54.127,54.127,54.127,54.248,54.248,54.248,54.248,54.248,54.248,54.248,54.248,54.248,54.248,54.259,54.259,58.659,58.659,58.659,58.659,58.659,58.659,58.602,58.602,58.602,58.602,58.602,58.602,61.785,61.785,61.671,61.671,61.671,61.671,61.671,61.671,61.671,61.671,61.671,61.671,66.592,66.592,66.592,66.592,66.592,66.592,66.534,66.534,66.534,66.534,66.534,66.534,71.398,71.398,71.398,71.398,71.398,71.398,71.398,71.398,71.398,71.398,71.398,71.398,76.900,76.900,76.900,76.900,76.900,76.900,76.900,76.900,76.900,76.900,76.997,76.997,81.861,81.861,81.861,81.861,81.861,81.861,81.861,81.861,81.861,81.861,81.861,81.861,87.371,87.371,87.371,87.371,87.371,87.371,87.371,87.371,87.371,87.371,87.371,87.371,93.936,93.936,93.936,93.936,93.936,93.936,93.774,93.774,93.774,93.774,93.774,93.774,100.988,100.988,100.988,100.988,100.988,100.988,100.907,100.907,100.907,100.907,100.907,100.907,103.824,103.824,103.824,103.824,103.824,103.824,103.663,103.663,103.663,103.663,103.725,103.725,104.560,104.560,104.560,104.560,104.560,104.560,104.351,104.351,104.351,104.351,104.351,104.351,105.291,105.291,105.291,105.291,105.291,105.291,104.978,104.978,104.978,104.978,105.009,105.009,101.106,101.106,101.106,101.106,101.106,101.106,100.814,100.814,100.814,100.814,100.814,100.814,100.146,100.146,100.146,100.146,100.146,100.146,100.146,100.146,100.146,100.146,100.146,100.146,100.010,100.010,100.010,100.010,100.010,100.010,100.000,100.000,100.000,100.000,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,99.99,99.99,99.99,99.99,99.99,99.99,100.01,100.01,100.01,100.01,100.01,100.01,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.08,100.08,100.08,100.08,100.08,100.08,100.08,100.08,100.08,100.08,100.08,100.08,100.08,100.08,100.08,100.08,100.08,100.08,100.08,100.08,100.08,100.08,100.08,100.08,100.27,100.27,100.27,100.27,100.27,100.27,98.85,98.85,98.85,98.85,98.85,98.85,100.28,100.28,100.28,100.28,100.28,100.28,100.28
